Paper,,,Experimental Design,,,,Demographic,,,,,,,,Game Structure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punishment Info,,,,Help/Compensation Info,,,,Keep info,,,Notes
No.,Title,Study,Lab or Online,Group Manipulation,Group manipulation Indicator,Group Selection/Instruction,Number of Valid Participants,Sample Source,Female,Male,Age (mean),Age (SD),Nationality,Country ,Game Type,Game explanation,Real or deception,One-shot Interaction? (Do participants believe that players will never meet again? Also Yes if third-parties are evaluating past interaction),Previous Engagement (Whether the participants enaged as players before),"Future Engagement (Whether the participants will, or believe they will, enegae as players later)",Multiplier in the game,Person A Endowments,Person B Endowments,Punisher Choices,Punisher Endowments,Punishment min,Punishment max,Punishment-Cost Ratio,Reward min,Reward Max,Reward-cost Ratio,Token/Monetary Unit or Currency?,"Exchange Rate
Per Token/Monetary Unit to Money",Currency,Person A Affiliation Manipulated or Not?,Between or Within?,Person B Affliation Manipulated or Not?,Between or Within?,Fairness/Cooperativeness of Person A Manipulated or Not?,Between or Within?,Definition of Fairness/Cooperativeness,Fairness/Cooperativeness of Person B Manipulated or Not?,Between or Within?,Other IV,Between or Within,Levels,Fairness/Cooperativeness of Person A,Fairness/Cooperativeness of Person B,Person A affiliation,Recipient/Player B Affliation,N by condition,Trials per Participant,Total Trials,P_Proportion,P_Frequency,P_Average Invested Amount,P_SD invested amount ,H_Proportion ,H_Frequency,H_Average Invested Amount,K_SD invested amount ,K_Proportion ,K_Frequency,K_SD,Notes
6,Intergroup bias influences third-party punishment and compensation: In-group relationships attenuate altruistic punishment,1,Lab,Natural ,Stiudent Association,Participants were assigned based on their real student association membership (in-group vs out-group),163,Undergraduates,65,98,18.79,0.87,Chinese,China,Dictator Game,"Before starting the experiment, participants were asked to play the game with two other players who had completed a task earlier that allowed them to jointly earn 50 monetary units (MU), each of which was valued at RMB 0.1 (USD 1.51 cents). One of the two players would be randomly chosen to act as the dictator/proposer (Player A) and the other would act as the recipient (Player B). Player A would then choose how to divide the 50 MU between him-/herself and Player B, and the latter player had to accept the decision. Furthermore, participants were told that in each trial they would be informed of the group affiliation of each player. There were four grouping configurations in the experiment: A was in-group and B was in-group (IN–IN), A was in-group and B was out-group (IN–OUT), A was out-group and B was in-group (OUT–IN), and A was out-group and B was out-group (OUT–OUT). Participants were then told that they would be endowed with 20 MU that they could decide to keep and accrue over the game, or invest to punish Player A or compensate Player B. If participants chose to punish or compensate, they were further asked to choose from six fixed-choice amounts how much they would invest: 3, 6, 9, 12, 15, or 18 MU. Transferred MU were afforded a multiplier effect: If participants chose to punish, for each MU, Player A’s payoff would decrease by 3 MU; if they chose to compensate, Player B’s payoff would increase by 3 MU. Participants were informed that they would be paid according to their choices made in several randomly chosen rounds of the game, as well as receiving an additional payment of RMB 20 for participating in the study. All participants completed 72 trials. In each group constellation, there were three fair trials (i.e., the dictator proposed a 50:50 allocation) and 15 unfair trials, comprising three trials each wherein dictators proposed unbalanced distributions of 30:20, 35:15, 40:10, 45:5, and 50:0.",Deception,Not Reported,No,Not Reported,1,50,0,Punish or Compensate,20,3,18,3,3,18,3,Token,0.1,CNY,Yes,Within,Yes,Within,Yes,Within,"30:20, 35:15, 40:10, 45:5, and 50:0",No,NA,,,,Unfair,,Ingroup,Ingroup,163,15,2445,,467,7.24,6.664,,1350,10.407,4.596,,628,,
6,Intergroup bias influences third-party punishment and compensation: In-group relationships attenuate altruistic punishment,1,Lab,Natural ,Stiudent Association,Participants were assigned based on their real student association membership (in-group vs out-group),163,Undergraduates,65,98,18.79,0.87,Chinese,China,Dictator Game,"Before starting the experiment, participants were asked to play the game with two other players who had completed a task earlier that allowed them to jointly earn 50 monetary units (MU), each of which was valued at RMB 0.1 (USD 1.51 cents). One of the two players would be randomly chosen to act as the dictator/proposer (Player A) and the other would act as the recipient (Player B). Player A would then choose how to divide the 50 MU between him-/herself and Player B, and the latter player had to accept the decision. Furthermore, participants were told that in each trial they would be informed of the group affiliation of each player. There were four grouping configurations in the experiment: A was in-group and B was in-group (IN–IN), A was in-group and B was out-group (IN–OUT), A was out-group and B was in-group (OUT–IN), and A was out-group and B was out-group (OUT–OUT). Participants were then told that they would be endowed with 20 MU that they could decide to keep and accrue over the game, or invest to punish Player A or compensate Player B. If participants chose to punish or compensate, they were further asked to choose from six fixed-choice amounts how much they would invest: 3, 6, 9, 12, 15, or 18 MU. Transferred MU were afforded a multiplier effect: If participants chose to punish, for each MU, Player A’s payoff would decrease by 3 MU; if they chose to compensate, Player B’s payoff would increase by 3 MU. Participants were informed that they would be paid according to their choices made in several randomly chosen rounds of the game, as well as receiving an additional payment of RMB 20 for participating in the study. All participants completed 72 trials. In each group constellation, there were three fair trials (i.e., the dictator proposed a 50:50 allocation) and 15 unfair trials, comprising three trials each wherein dictators proposed unbalanced distributions of 30:20, 35:15, 40:10, 45:5, and 50:0.",Deception,Not Reported,No,Not Reported,1,50,0,Punish or Compensate,20,3,18,3,3,18,3,Token,0.1,CNY,Yes,Within,Yes,Within,Yes,Within,"30:20, 35:15, 40:10, 45:5, and 50:0",No,NA,,,,Unfair,,Ingroup,Outgroup,163,15,2445,,369,5.85,6.371,,1181,8.665,4.874,,895,,
6,Intergroup bias influences third-party punishment and compensation: In-group relationships attenuate altruistic punishment,1,Lab,Natural ,Stiudent Association,Participants were assigned based on their real student association membership (in-group vs out-group),163,Undergraduates,65,98,18.79,0.87,Chinese,China,Dictator Game,"Before starting the experiment, participants were asked to play the game with two other players who had completed a task earlier that allowed them to jointly earn 50 monetary units (MU), each of which was valued at RMB 0.1 (USD 1.51 cents). One of the two players would be randomly chosen to act as the dictator/proposer (Player A) and the other would act as the recipient (Player B). Player A would then choose how to divide the 50 MU between him-/herself and Player B, and the latter player had to accept the decision. Furthermore, participants were told that in each trial they would be informed of the group affiliation of each player. There were four grouping configurations in the experiment: A was in-group and B was in-group (IN–IN), A was in-group and B was out-group (IN–OUT), A was out-group and B was in-group (OUT–IN), and A was out-group and B was out-group (OUT–OUT). Participants were then told that they would be endowed with 20 MU that they could decide to keep and accrue over the game, or invest to punish Player A or compensate Player B. If participants chose to punish or compensate, they were further asked to choose from six fixed-choice amounts how much they would invest: 3, 6, 9, 12, 15, or 18 MU. Transferred MU were afforded a multiplier effect: If participants chose to punish, for each MU, Player A’s payoff would decrease by 3 MU; if they chose to compensate, Player B’s payoff would increase by 3 MU. Participants were informed that they would be paid according to their choices made in several randomly chosen rounds of the game, as well as receiving an additional payment of RMB 20 for participating in the study. All participants completed 72 trials. In each group constellation, there were three fair trials (i.e., the dictator proposed a 50:50 allocation) and 15 unfair trials, comprising three trials each wherein dictators proposed unbalanced distributions of 30:20, 35:15, 40:10, 45:5, and 50:0.",Deception,Not Reported,No,Not Reported,1,50,0,Punish or Compensate,20,3,18,3,3,18,3,Token,0.1,CNY,Yes,Within,Yes,Within,Yes,Within,"30:20, 35:15, 40:10, 45:5, and 50:0",No,NA,,,,Unfair,,Outgroup,Ingroup,163,15,2445,,1093,10.91,6.371,,1037,9.916,5.452,,315,,
6,Intergroup bias influences third-party punishment and compensation: In-group relationships attenuate altruistic punishment,1,Lab,Natural ,Stiudent Association,Participants were assigned based on their real student association membership (in-group vs out-group),163,Undergraduates,65,98,18.79,0.87,Chinese,China,Dictator Game,"Before starting the experiment, participants were asked to play the game with two other players who had completed a task earlier that allowed them to jointly earn 50 monetary units (MU), each of which was valued at RMB 0.1 (USD 1.51 cents). One of the two players would be randomly chosen to act as the dictator/proposer (Player A) and the other would act as the recipient (Player B). Player A would then choose how to divide the 50 MU between him-/herself and Player B, and the latter player had to accept the decision. Furthermore, participants were told that in each trial they would be informed of the group affiliation of each player. There were four grouping configurations in the experiment: A was in-group and B was in-group (IN–IN), A was in-group and B was out-group (IN–OUT), A was out-group and B was in-group (OUT–IN), and A was out-group and B was out-group (OUT–OUT). Participants were then told that they would be endowed with 20 MU that they could decide to keep and accrue over the game, or invest to punish Player A or compensate Player B. If participants chose to punish or compensate, they were further asked to choose from six fixed-choice amounts how much they would invest: 3, 6, 9, 12, 15, or 18 MU. Transferred MU were afforded a multiplier effect: If participants chose to punish, for each MU, Player A’s payoff would decrease by 3 MU; if they chose to compensate, Player B’s payoff would increase by 3 MU. Participants were informed that they would be paid according to their choices made in several randomly chosen rounds of the game, as well as receiving an additional payment of RMB 20 for participating in the study. All participants completed 72 trials. In each group constellation, there were three fair trials (i.e., the dictator proposed a 50:50 allocation) and 15 unfair trials, comprising three trials each wherein dictators proposed unbalanced distributions of 30:20, 35:15, 40:10, 45:5, and 50:0.",Deception,Not Reported,No,Not Reported,1,50,0,Punish or Compensate,20,3,18,3,3,18,3,Token,0.1,CNY,Yes,Within,Yes,Within,Yes,Within,"30:20, 35:15, 40:10, 45:5, and 50:0",No,NA,,,,Unfair,,Outgroup,Outgroup,163,15,2445,,741,9.06,6.153,,676,7.649,5.489,,1028,,
9,Intergroup bias in third-party punishment stems from both ingroup favoritism and outgroup discrimination,1,Online,Natural,Soccer fan or politicial orientation,"Participants interacted with either supporters of their own (“ingroup”; IN) or a corresponding rival (“outgroup”; OUT) soccer club/political party or with unaffiliated persons (“unaffiliated”, UN).",89,University students ,41,48,22.03,0.33,Swiss,Switzerland,Prisoner's Dilemma Game,Participants in the role of a third-party were given the opportunity to punish the behavior of players who had previously played a Prisoner’s Dilemma Game (PDG; conducted online with the software tool Unipark) All participants were in the role of a third-party (player C) who was confronted with player A’s and player B’s decisions in the PDG. Third-parties were informed that each decision was made by a different player A and player B pair.,Real,Yes,No,No,2,20,20,Punish Only,10,0,10,3,NA,NA,NA,Token,0.1,CHF,Yes,Within,No,NA,Yes,Within,Pass vs keep the points,No,NA,,,,Cooperate,,Neutral,Ingroup,89,2,178,,NA,0.19,0.74,,,,,,,,
9,Intergroup bias in third-party punishment stems from both ingroup favoritism and outgroup discrimination,1,Online,Natural,Soccer fan or politicial orientation,"Participants interacted with either supporters of their own (“ingroup”; IN) or a corresponding rival (“outgroup”; OUT) soccer club/political party or with unaffiliated persons (“unaffiliated”, UN).",89,University students ,41,48,22.03,0.33,Swiss,Switzerland,Prisoner's Dilemma Game,Participants in the role of a third-party were given the opportunity to punish the behavior of players who had previously played a Prisoner’s Dilemma Game (PDG; conducted online with the software tool Unipark) All participants were in the role of a third-party (player C) who was confronted with player A’s and player B’s decisions in the PDG. Third-parties were informed that each decision was made by a different player A and player B pair.,Real,Yes,No,No,2,20,20,Punish Only,10,0,10,3,NA,NA,NA,Token,0.1,CHF,Yes,Within,No,NA,Yes,Within,Pass vs keep the points,No,NA,,,,Cooperate,,Outgroup,Ingroup ,89,1,89,,NA,0.93,2.32,,,,,,,,
9,Intergroup bias in third-party punishment stems from both ingroup favoritism and outgroup discrimination,1,Online,Natural,Soccer fan or politicial orientation,"Participants interacted with either supporters of their own (“ingroup”; IN) or a corresponding rival (“outgroup”; OUT) soccer club/political party or with unaffiliated persons (“unaffiliated”, UN).",89,University students ,41,48,22.03,0.33,Swiss,Switzerland,Prisoner's Dilemma Game,Participants in the role of a third-party were given the opportunity to punish the behavior of players who had previously played a Prisoner’s Dilemma Game (PDG; conducted online with the software tool Unipark) All participants were in the role of a third-party (player C) who was confronted with player A’s and player B’s decisions in the PDG. Third-parties were informed that each decision was made by a different player A and player B pair.,Real,Yes,No,No,2,20,20,Punish Only,10,0,10,3,NA,NA,NA,Token,0.1,CHF,Yes,Within,No,NA,Yes,Within,Pass vs keep the points,No,NA,,,,Cooperate,,Ingroup,Ingroup,89,4,356,,NA,0.11,0.57,,,,,,,,
9,Intergroup bias in third-party punishment stems from both ingroup favoritism and outgroup discrimination,1,Online,Natural,Soccer fan or politicial orientation,"Participants interacted with either supporters of their own (“ingroup”; IN) or a corresponding rival (“outgroup”; OUT) soccer club/political party or with unaffiliated persons (“unaffiliated”, UN).",89,University students ,41,48,22.03,0.33,Swiss,Switzerland,Prisoner's Dilemma Game,Participants in the role of a third-party were given the opportunity to punish the behavior of players who had previously played a Prisoner’s Dilemma Game (PDG; conducted online with the software tool Unipark) All participants were in the role of a third-party (player C) who was confronted with player A’s and player B’s decisions in the PDG. Third-parties were informed that each decision was made by a different player A and player B pair.,Real,Yes,No,No,2,20,20,Punish Only,10,0,10,3,NA,NA,NA,Token,0.1,CHF,Yes,Within,No,NA,Yes,Within,Pass vs keep the points,No,NA,,,,Defect,,Neutral,Ingroup,89,2,178,,NA,2.61,2.88,,,,,,,,
9,Intergroup bias in third-party punishment stems from both ingroup favoritism and outgroup discrimination,1,Online,Natural,Soccer fan or politicial orientation,"Participants interacted with either supporters of their own (“ingroup”; IN) or a corresponding rival (“outgroup”; OUT) soccer club/political party or with unaffiliated persons (“unaffiliated”, UN).",89,University students ,41,48,22.03,0.33,Swiss,Switzerland,Prisoner's Dilemma Game,Participants in the role of a third-party were given the opportunity to punish the behavior of players who had previously played a Prisoner’s Dilemma Game (PDG; conducted online with the software tool Unipark) All participants were in the role of a third-party (player C) who was confronted with player A’s and player B’s decisions in the PDG. Third-parties were informed that each decision was made by a different player A and player B pair.,Real,Yes,No,No,2,20,20,Punish Only,10,0,10,3,NA,NA,NA,Token,0.1,CHF,Yes,Within,No,NA,Yes,Within,Pass vs keep the points,No,NA,,,,Defect,,Outgroup,Ingroup ,89,4,356,,NA,3.85,3.22,,,,,,,,
9,Intergroup bias in third-party punishment stems from both ingroup favoritism and outgroup discrimination,1,Online,Natural,Soccer fan or politicial orientation,"Participants interacted with either supporters of their own (“ingroup”; IN) or a corresponding rival (“outgroup”; OUT) soccer club/political party or with unaffiliated persons (“unaffiliated”, UN).",89,University students ,41,48,22.03,0.33,Swiss,Switzerland,Prisoner's Dilemma Game,Participants in the role of a third-party were given the opportunity to punish the behavior of players who had previously played a Prisoner’s Dilemma Game (PDG; conducted online with the software tool Unipark) All participants were in the role of a third-party (player C) who was confronted with player A’s and player B’s decisions in the PDG. Third-parties were informed that each decision was made by a different player A and player B pair.,Real,Yes,No,No,2,20,20,Punish Only,10,0,10,3,NA,NA,NA,Token,0.1,CHF,Yes,Within,No,NA,Yes,Within,Pass vs keep the points,No,NA,,,,Defect,,Ingroup,Ingroup,89,2,178,,NA,1.99,2.86,,,,,,,,
