source,test_type,df1,df2,test_comp,test_value,p_comp,reported_p,computed_p,raw,error,decision_error,one_tailed_in_txt,apa_factor
103_Guo_2024.pdf,Z,NA,NA,=,-2.8,=,0.026,0.005110260660855868,"z =-2.80, p = .026",TRUE,FALSE,FALSE,0.37
103_Guo_2024.pdf,Z,NA,NA,=,-2.37,=,0.084,0.017788085260673554,"z = -2.37, p = .084",TRUE,TRUE,FALSE,0.37
103_Guo_2024.pdf,Z,NA,NA,=,-0.76,=,0.871,0.4472545848751988,"z = -0.76, p = .871",TRUE,FALSE,FALSE,0.37
103_Guo_2024.pdf,Z,NA,NA,=,-0.76,=,0.871,0.4472545848751988,"z = -0.76, p = .871",TRUE,FALSE,FALSE,0.37
103_Guo_2024.pdf,Z,NA,NA,=,-2.37,=,0.084,0.017788085260673554,"z = -2.37, p = .084",TRUE,TRUE,FALSE,0.37
121_Thulin_2017.pdf,t,NA,262,=,0.42,=,0.042,0.674829674928094,"t(262)=.42, p=.042",TRUE,TRUE,FALSE,0.97
13_Luz Gonzalez-Gadea_2022.pdf,Chi2,2,NA,=,1,=,0.604,0.6065306597126334,"2 (2) = 1.00,p = .604",TRUE,FALSE,FALSE,0.11
13_Luz Gonzalez-Gadea_2022.pdf,t,NA,122,=,8.69,=,0.494,1.9831745951385223e-14,"t (122) = 8.69, p = .494",TRUE,TRUE,FALSE,0.11
13_Luz Gonzalez-Gadea_2022.pdf,Chi2,2,NA,=,0.83,=,0.504,0.660340280704983,"2 (2) = .83, p = .504",TRUE,FALSE,FALSE,0.11
132_Reimers_2019.pdf,t,NA,59,=,1.77,=,0.084,0.08189401946250585,"t(59) = 1.77, p = 0.084",TRUE,FALSE,FALSE,0.39
132_Reimers_2019.pdf,t,NA,17,=,1.47,=,0.11,0.15982685045950176,"t(17) = 1.47, p = 0.11",TRUE,FALSE,FALSE,0.39
14_Wei_2023.pdf,F,1,142,=,40.911,=,0,2.1565852277999328e-9,"F(1,142) = 40.911, p = 0.000",TRUE,FALSE,FALSE,0.26
161_Van de Vyver_2016.pdf,F,1,158,=,0.27,=,0.869,0.6040589548881008,"F (1, 158) = 0.27, p = .869",TRUE,FALSE,FALSE,0.38
161_Van de Vyver_2016.pdf,F,2,102,=,0.49,=,0.494,0.614060974955889,"F (2, 102) = 0.49, p = .494",TRUE,FALSE,FALSE,0.38
174_Hu Gaoxi_2020.pdf,F,1,84,=,11.3,<,0.001,0.0011684124177688891,"F (1, 84) = 11.3, p < .001",TRUE,FALSE,FALSE,0.26
