source,test_type,df1,df2,test_comp,test_value,p_comp,reported_p,computed_p,raw,error,decision_error,one_tailed_in_txt,apa_factor
103_Guo_2024.pdf,Z,NA,NA,=,-2.37,=,0.084,0.017788085260673554,"z = -2.37, p = .084",TRUE,TRUE,FALSE,0.37
103_Guo_2024.pdf,Z,NA,NA,=,-2.37,=,0.084,0.017788085260673554,"z = -2.37, p = .084",TRUE,TRUE,FALSE,0.37
121_Thulin_2017.pdf,t,NA,262,=,0.42,=,0.042,0.674829674928094,"t(262)=.42, p=.042",TRUE,TRUE,FALSE,0.97
13_Luz Gonzalez-Gadea_2022.pdf,t,NA,122,=,8.69,=,0.494,1.9831745951385223e-14,"t (122) = 8.69, p = .494",TRUE,TRUE,FALSE,0.11
212_Windmann_2024.pdf,t,NA,303,=,2.2,=,0.057,0.02856161685767667,"t(303) = 2.20,p = .057",TRUE,TRUE,FALSE,0.71
24_Morese_2016.pdf,t,NA,21,=,1.994,=,0.01,0.05929870886266189,"t(21) = 1.994, p = .01",TRUE,TRUE,FALSE,0.47
24_Morese_2016.pdf,t,NA,21,=,1.98,=,0.008,0.06095789616838903,"t(21) = 1.980, p = .008",TRUE,TRUE,FALSE,0.47
280_Kumar_2023.pdf,t,NA,4,=,1.87,=,0.04,0.13483110970579723,"t (4) = 1.87, p =.04",TRUE,TRUE,FALSE,0.75
280_Kumar_2023.pdf,t,NA,5,=,2.37,=,0.04,0.06395268162143672,"t(5) = 2.37,p =.04",TRUE,TRUE,FALSE,0.75
291_Vaucheret Paz_2020.pdf,t,NA,5,=,2.47,=,0.05,0.05653022164109282,"t(5)=2.47, p= .05",TRUE,TRUE,FALSE,0.5
38_Guo_2024.pdf,t,NA,132,=,1.73,=,0.043,0.08596759006423083,"t (132)= 1.73, p = .043",TRUE,TRUE,TRUE,0.06
80_Diekhof_2014.pdf,Z,NA,NA,=,1.72,=,0.043,0.08543244158265788,"(z = 1.72, p = 0.043",TRUE,TRUE,TRUE,0.4
80_Diekhof_2014.pdf,Z,NA,NA,=,1.72,=,0.043,0.08543244158265788,";z = 1.72, p = 0.043",TRUE,TRUE,TRUE,0.4
80_Diekhof_2014.pdf,Z,NA,NA,=,1.77,=,0.038,0.07672714072574247,"z = 1.77, p = 0.038",TRUE,TRUE,TRUE,0.4
94_Reimers_2015.pdf,Z,NA,NA,=,-5.85,=,0.97,4.915730123616067e-9,"(Z = -5.85, p = 0.97",TRUE,TRUE,TRUE,0.48
